2.650515938612807432e-02,5.861570488037399773e-01
4.860060902169219960e-02,9.866221643166601663e-01
1.607141582601077923e-02,9.581773428221435074e-01
1.529862628377555087e-02,8.038526026194252605e-01
2.186719674779842582e-02,6.752069085339412746e-01
1.973956547451797411e-02,5.057666975251362551e-01
2.127301939385351989e-02,9.686512573077210586e-01
1.396693092283884247e-02,9.642789948104726339e-01
1.307307619641214468e-02,9.384781798984019874e-01
1.621340087185969142e-02,8.282602139134875863e-01
1.795624730651718126e-02,7.448352051293607445e-01
1.761185073416804067e-02,9.640575080081299486e-01
6.265430150204805149e-02,9.879593884355759581e-01
1.720717450141669852e-02,9.504034381899079120e-01
1.305263730563999830e-02,8.590305310410635276e-01
1.516175075254732815e-02,7.408517323773068375e-01
